DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
4820.0,105.4628,16.2099,17.5152,9.42,6.1347,6.1819,2.6443,109.8382,64.4505
4820.5,79.2355,18.2398,15.4012,5.96,6.1218,6.164,2.7161,106.2962,64.4126
4821.0,80.931,25.0038,18.3117,7.85,6.1282,6.1686,2.6479,103.6739,59.2906
4821.5,83.3514,35.1653,31.1933,7.4,6.1098,6.1658,2.6685,103.6718,60.6664
4822.0,111.8949,27.7861,26.2385,16.39,6.0838,6.173,2.6656,104.1864,62.3219
4822.5,102.1761,21.647,21.5061,12.64,6.0719,6.1653,2.6438,112.185,66.4377
4823.0,112.2318,17.048,17.2567,19.45,6.0685,6.1737,2.6683,111.8009,64.3818
4823.5,151.2136,15.6312,10.8168,21.18,6.106,6.1737,2.643,115.4579,65.9632
4824.0,139.242,10.8052,7.4145,21.79,6.0715,6.1712,2.725,124.7637,70.6661
4824.5,103.2091,7.6406,8.8609,12.44,6.1022,6.1712,2.6532,126.2819,72.797
4825.0,96.5154,8.4909,12.5999,9.6,6.0997,6.1658,2.6581,115.2522,67.3802
4825.5,107.1862,11.8892,23.8525,10.69,6.0846,6.173,2.6574,106.8356,64.3229
4826.0,124.5419,11.3328,19.3772,17.06,6.0547,6.1676,2.6603,105.4786,60.5867
4826.5,125.626,12.1753,18.9481,17.86,6.0617,6.1712,2.7014,112.0398,64.1294
4827.0,119.9012,11.715,14.1538,15.56,6.0584,6.164,2.6622,115.3684,68.2328
4827.5,123.2863,10.5814,11.6225,17.23,6.0577,6.1694,2.6279,117.7125,67.7242
4828.0,110.2195,13.3987,13.3602,11.36,6.0554,6.1676,2.6379,111.7844,64.6213
4828.5,100.6473,15.4104,14.5423,11.31,6.063,6.1604,2.6967,113.1832,67.4695
4829.0,102.5517,14.4517,13.5058,11.27,6.0662,6.1676,2.6547,106.4106,63.4909
4829.5,87.5059,21.4108,19.1402,8.14,6.0677,6.1676,2.704,104.7186,63.2999
4830.0,88.3295,23.4279,18.4664,9.08,6.0441,6.1945,2.6613,103.0561,60.3598
4830.5,88.4017,33.8397,31.5349,7.58,6.0462,6.207,2.6594,101.7813,60.3807
